collection,id
comunes,s05007
comunes,s05001
comunes,s05004
comunes,s05002
comunes,s05005
comunes,s05010
comunes,s05006
comunes,s05008
comunes,s05009
comunes,s05003
individuales,s05014
individuales,s05043
individuales,s05007
individuales,s05019
individuales,s05021
individuales,s05030
individuales,s05018
individuales,s05001
individuales,s05033
individuales,s05004
individuales,s05050
individuales,s05017
individuales,s05032
individuales,s05002
individuales,s05024
individuales,s05005
individuales,s05044
individuales,s05035
individuales,s05010
individuales,s05020
individuales,s05027
individuales,s05006
individuales,s05022
individuales,s05039
individuales,s05040
individuales,s05041
individuales,s05028
individuales,s05016
individuales,s05029
individuales,s05025
individuales,s05042
individuales,s05008
individuales,s05045
individuales,s05048
individuales,s05011
individuales,s05013
individuales,s05031
individuales,s05009
individuales,s05038
individuales,s05003
individuales,s05026
individuales,s05034
individuales,s05015
individuales,s05046
individuales,s05036
individuales,s05037
individuales,s05047
individuales,s05023
individuales,s05012
individuales,s05049
comunes,s01502
comunes,s01510
comunes,s01504
comunes,s01507
comunes,s01503
comunes,s01508
comunes,s01509
comunes,s01506
comunes,s01501
comunes,s01505
individuales,s01502
individuales,s01510
individuales,s01548
individuales,s01518
individuales,s01517
individuales,s01533
individuales,s01504
individuales,s01537
individuales,s01543
individuales,s01536
individuales,s01541
individuales,s01511
individuales,s01546
individuales,s01528
individuales,s01526
individuales,s01515
individuales,s01532
individuales,s01545
individuales,s01507
individuales,s01514
individuales,s01503
individuales,s01516
individuales,s01542
individuales,s01508
individuales,s01509
individuales,s01534
individuales,s01540
individuales,s01525
individuales,s01538
individuales,s01549
individuales,s01519
individuales,s01529
individuales,s01550
individuales,s01530
individuales,s01506
individuales,s01512
individuales,s01523
individuales,s01539
individuales,s01521
individuales,s01522
individuales,s01535
individuales,s01513
individuales,s01547
individuales,s01524
individuales,s01544
individuales,s01501
individuales,s01531
individuales,s01505
individuales,s01520
individuales,s01527
comunes,s00502
comunes,s00510
comunes,s00503
comunes,s00509
comunes,s00508
comunes,s00501
comunes,s00507
comunes,s00506
comunes,s00504
comunes,s00505
individuales,s00502
individuales,s00524
individuales,s00510
individuales,s00529
individuales,s00527
individuales,s00503
individuales,s00519
individuales,s00530
individuales,s00535
individuales,s00513
individuales,s00514
individuales,s00509
individuales,s00508
individuales,s00547
individuales,s00537
individuales,s00544
individuales,s00531
individuales,s00511
individuales,s00512
individuales,s00521
individuales,s00536
individuales,s00534
individuales,s00525
individuales,s00532
individuales,s00520
individuales,s00550
individuales,s00501
individuales,s00507
individuales,s00539
individuales,s00546
individuales,s00538
individuales,s00515
individuales,s00549
individuales,s00543
individuales,s00545
individuales,s00506
individuales,s00528
individuales,s00522
individuales,s00504
individuales,s00505
individuales,s00518
individuales,s00541
individuales,s00523
individuales,s00517
individuales,s00526
individuales,s00542
individuales,s00540
individuales,s00548
individuales,s00516
individuales,s00533
comunes,s05607
comunes,s05602
comunes,s05608
comunes,s05609
comunes,s05606
comunes,s05601
comunes,s05604
comunes,s05605
comunes,s05610
comunes,s05603
individuales,s05616
individuales,s05638
individuales,s05630
individuales,s05607
individuales,s05623
individuales,s05602
individuales,s05643
individuales,s05625
individuales,s05613
individuales,s05646
individuales,s05608
individuales,s05609
individuales,s05606
individuales,s05626
individuales,s05622
individuales,s05615
individuales,s05617
individuales,s05601
individuales,s05647
individuales,s05614
individuales,s05611
individuales,s05631
individuales,s05635
individuales,s05620
individuales,s05632
individuales,s05639
individuales,s05642
individuales,s05633
individuales,s05604
individuales,s05629
individuales,s05619
individuales,s05618
individuales,s05612
individuales,s05627
individuales,s05605
individuales,s05650
individuales,s05645
individuales,s05644
individuales,s05610
individuales,s05621
individuales,s05649
individuales,s05636
individuales,s05624
individuales,s05603
individuales,s05628
individuales,s05637
individuales,s05641
individuales,s05640
individuales,s05634
individuales,s05648
comunes,s01606
comunes,s01610
comunes,s01608
comunes,s01601
comunes,s01604
comunes,s01607
comunes,s01602
comunes,s01603
comunes,s01609
comunes,s01605
individuales,s01623
individuales,s01635
individuales,s01613
individuales,s01606
individuales,s01621
individuales,s01610
individuales,s01645
individuales,s01619
individuales,s01647
individuales,s01643
individuales,s01639
individuales,s01608
individuales,s01601
individuales,s01640
individuales,s01612
individuales,s01630
individuales,s01633
individuales,s01604
individuales,s01607
individuales,s01644
individuales,s01648
individuales,s01624
individuales,s01650
individuales,s01602
individuales,s01618
individuales,s01638
individuales,s01626
individuales,s01649
individuales,s01636
individuales,s01614
individuales,s01641
individuales,s01622
individuales,s01637
individuales,s01634
individuales,s01603
individuales,s01631
individuales,s01616
individuales,s01611
individuales,s01609
individuales,s01620
individuales,s01617
individuales,s01628
individuales,s01605
individuales,s01615
individuales,s01642
individuales,s01632
individuales,s01627
individuales,s01646
individuales,s01625
individuales,s01629
comunes,s05508
comunes,s05503
comunes,s05504
comunes,s05501
comunes,s05505
comunes,s05502
comunes,s05509
comunes,s05506
comunes,s05510
comunes,s05507
individuales,s05533
individuales,s05508
individuales,s05527
individuales,s05503
individuales,s05541
individuales,s05542
individuales,s05548
individuales,s05546
individuales,s05512
individuales,s05517
individuales,s05544
individuales,s05526
individuales,s05550
individuales,s05516
individuales,s05539
individuales,s05515
individuales,s05536
individuales,s05504
individuales,s05532
individuales,s05519
individuales,s05547
individuales,s05540
individuales,s05514
individuales,s05534
individuales,s05549
individuales,s05529
individuales,s05528
individuales,s05501
individuales,s05505
individuales,s05502
individuales,s05518
individuales,s05535
individuales,s05513
individuales,s05543
individuales,s05509
individuales,s05506
individuales,s05520
individuales,s05545
individuales,s05524
individuales,s05510
individuales,s05511
individuales,s05521
individuales,s05531
individuales,s05522
individuales,s05525
individuales,s05507
individuales,s05537
individuales,s05523
individuales,s05538
individuales,s05530
comunes,s05704
comunes,s05702
comunes,s05708
comunes,s05701
comunes,s05707
comunes,s05709
comunes,s05705
comunes,s05706
comunes,s05710
comunes,s05703
individuales,s05726
individuales,s05704
individuales,s05739
individuales,s05724
individuales,s05734
individuales,s05748
individuales,s05711
individuales,s05725
individuales,s05733
individuales,s05713
individuales,s05742
individuales,s05719
individuales,s05702
individuales,s05732
individuales,s05737
individuales,s05745
individuales,s05720
individuales,s05736
individuales,s05715
individuales,s05738
individuales,s05741
individuales,s05712
individuales,s05728
individuales,s05750
individuales,s05727
individuales,s05722
individuales,s05708
individuales,s05717
individuales,s05718
individuales,s05744
individuales,s05701
individuales,s05730
individuales,s05729
individuales,s05746
individuales,s05740
individuales,s05747
individuales,s05707
individuales,s05709
individuales,s05743
individuales,s05705
individuales,s05721
individuales,s05735
individuales,s05706
individuales,s05749
individuales,s05710
individuales,s05703
individuales,s05714
individuales,s05716
individuales,s05723
individuales,s05731
comunes,s02003
comunes,s02007
comunes,s02006
comunes,s02010
comunes,s02002
comunes,s02009
comunes,s02001
comunes,s02008
comunes,s02005
comunes,s02004
individuales,s02032
individuales,s02003
individuales,s02017
individuales,s02046
individuales,s02044
individuales,s02039
individuales,s02019
individuales,s02031
individuales,s02030
individuales,s02018
individuales,s02049
individuales,s02013
individuales,s02048
individuales,s02028
individuales,s02036
individuales,s02034
individuales,s02027
individuales,s02007
individuales,s02025
individuales,s02037
individuales,s02050
individuales,s02006
individuales,s02015
individuales,s02010
individuales,s02020
individuales,s02042
individuales,s02011
individuales,s02033
individuales,s02043
individuales,s02026
individuales,s02014
individuales,s02040
individuales,s02002
individuales,s02041
individuales,s02009
individuales,s02029
individuales,s02001
individuales,s02008
individuales,s02024
individuales,s02023
individuales,s02022
individuales,s02021
individuales,s02012
individuales,s02016
individuales,s02005
individuales,s02035
individuales,s02045
individuales,s02038
individuales,s02047
individuales,s02004
comunes,s06508
comunes,s06504
comunes,s06505
comunes,s06506
comunes,s06509
comunes,s06503
comunes,s06502
comunes,s06507
comunes,s06501
comunes,s06510
individuales,s06516
individuales,s06543
individuales,s06508
individuales,s06545
individuales,s06534
individuales,s06529
individuales,s06520
individuales,s06531
individuales,s06549
individuales,s06528
individuales,s06546
individuales,s06533
individuales,s06535
individuales,s06504
individuales,s06505
individuales,s06525
individuales,s06542
individuales,s06506
individuales,s06524
individuales,s06522
individuales,s06514
individuales,s06527
individuales,s06547
individuales,s06541
individuales,s06519
individuales,s06538
individuales,s06521
individuales,s06513
individuales,s06509
individuales,s06540
individuales,s06523
individuales,s06503
individuales,s06502
individuales,s06536
individuales,s06530
individuales,s06517
individuales,s06507
individuales,s06518
individuales,s06539
individuales,s06532
individuales,s06526
individuales,s06501
individuales,s06544
individuales,s06550
individuales,s06510
individuales,s06515
individuales,s06537
individuales,s06548
individuales,s06512
individuales,s06511
comunes,s02602
comunes,s02610
comunes,s02608
comunes,s02607
comunes,s02605
comunes,s02601
comunes,s02603
comunes,s02604
comunes,s02609
comunes,s02606
individuales,s02602
individuales,s02628
individuales,s02620
individuales,s02610
individuales,s02608
individuales,s02618
individuales,s02611
individuales,s02613
individuales,s02640
individuales,s02629
individuales,s02646
individuales,s02623
individuales,s02626
individuales,s02630
individuales,s02607
individuales,s02621
individuales,s02605
individuales,s02601
individuales,s02603
individuales,s02639
individuales,s02616
individuales,s02625
individuales,s02633
individuales,s02631
individuales,s02624
individuales,s02619
individuales,s02644
individuales,s02635
individuales,s02645
individuales,s02632
individuales,s02648
individuales,s02637
individuales,s02627
individuales,s02636
individuales,s02604
individuales,s02650
individuales,s02622
individuales,s02609
individuales,s02614
individuales,s02615
individuales,s02641
individuales,s02649
individuales,s02638
individuales,s02643
individuales,s02617
individuales,s02606
individuales,s02634
individuales,s02647
individuales,s02642
individuales,s02612
comunes,s00410
comunes,s00405
comunes,s00409
comunes,s00404
comunes,s00402
comunes,s00407
comunes,s00403
comunes,s00408
comunes,s00406
comunes,s00401
individuales,s00432
individuales,s00411
individuales,s00423
individuales,s00445
individuales,s00410
individuales,s00436
individuales,s00413
individuales,s00405
individuales,s00426
individuales,s00434
individuales,s00409
individuales,s00422
individuales,s00429
individuales,s00425
individuales,s00419
individuales,s00420
individuales,s00442
individuales,s00443
individuales,s00450
individuales,s00412
individuales,s00431
individuales,s00435
individuales,s00449
individuales,s00424
individuales,s00404
individuales,s00416
individuales,s00433
individuales,s00428
individuales,s00438
individuales,s00414
individuales,s00447
individuales,s00402
individuales,s00444
individuales,s00407
individuales,s00415
individuales,s00403
individuales,s00417
individuales,s00448
individuales,s00437
individuales,s00421
individuales,s00440
individuales,s00430
individuales,s00446
individuales,s00427
individuales,s00418
individuales,s00439
individuales,s00408
individuales,s00406
individuales,s00401
individuales,s00441
comunes,s09301
comunes,s09308
comunes,s09304
comunes,s09302
comunes,s09303
comunes,s09307
comunes,s09305
comunes,s09309
comunes,s09306
comunes,s09310
individuales,s09323
individuales,s09326
individuales,s09316
individuales,s09301
individuales,s09319
individuales,s09327
individuales,s09345
individuales,s09347
individuales,s09308
individuales,s09304
individuales,s09321
individuales,s09328
individuales,s09350
individuales,s09302
individuales,s09314
individuales,s09346
individuales,s09312
individuales,s09332
individuales,s09344
individuales,s09334
individuales,s09333
individuales,s09335
individuales,s09303
individuales,s09307
individuales,s09329
individuales,s09311
individuales,s09338
individuales,s09330
individuales,s09343
individuales,s09337
individuales,s09305
individuales,s09309
individuales,s09349
individuales,s09306
individuales,s09325
individuales,s09336
individuales,s09348
individuales,s09313
individuales,s09318
individuales,s09342
individuales,s09324
individuales,s09322
individuales,s09317
individuales,s09315
individuales,s09310
individuales,s09340
individuales,s09331
individuales,s09320
individuales,s09341
individuales,s09339
comunes,s02910
comunes,s02908
comunes,s02906
comunes,s02903
comunes,s02902
comunes,s02907
comunes,s02904
comunes,s02901
comunes,s02905
comunes,s02909
individuales,s02910
individuales,s02920
individuales,s02929
individuales,s02930
individuales,s02946
individuales,s02933
individuales,s02932
individuales,s02921
individuales,s02908
individuales,s02913
individuales,s02906
individuales,s02915
individuales,s02950
individuales,s02903
individuales,s02940
individuales,s02931
individuales,s02934
individuales,s02942
individuales,s02924
individuales,s02912
individuales,s02917
individuales,s02919
individuales,s02948
individuales,s02944
individuales,s02941
individuales,s02923
individuales,s02925
individuales,s02939
individuales,s02902
individuales,s02949
individuales,s02937
individuales,s02922
individuales,s02907
individuales,s02926
individuales,s02927
individuales,s02911
individuales,s02928
individuales,s02918
individuales,s02904
individuales,s02938
individuales,s02935
individuales,s02936
individuales,s02901
individuales,s02905
individuales,s02914
individuales,s02945
individuales,s02947
individuales,s02943
individuales,s02909
individuales,s02916
comunes,s08305
comunes,s08308
comunes,s08310
comunes,s08307
comunes,s08309
comunes,s08302
comunes,s08304
comunes,s08303
comunes,s08301
comunes,s08306
individuales,s08349
individuales,s08305
individuales,s08344
individuales,s08314
individuales,s08312
individuales,s08332
individuales,s08328
individuales,s08313
individuales,s08342
individuales,s08308
individuales,s08320
individuales,s08331
individuales,s08318
individuales,s08327
individuales,s08325
individuales,s08330
individuales,s08324
individuales,s08310
individuales,s08326
individuales,s08347
individuales,s08348
individuales,s08340
individuales,s08337
individuales,s08343
individuales,s08345
individuales,s08307
individuales,s08350
individuales,s08338
individuales,s08346
individuales,s08322
individuales,s08323
individuales,s08335
individuales,s08321
individuales,s08311
individuales,s08319
individuales,s08336
individuales,s08315
individuales,s08341
individuales,s08333
individuales,s08334
individuales,s08329
individuales,s08316
individuales,s08309
individuales,s08302
individuales,s08304
individuales,s08303
individuales,s08301
individuales,s08306
individuales,s08317
individuales,s08339
comunes,s00708
